"id","season","squad","free_kick_goals_against_gk","corner_kick_goals_against_gk","own_goals_against_gk","psxg_gk","psnpxg_per_shot_on_target_against","psxg_net_gk","psxg_net_per90_gk","passes_completed_launched_gk","passes_launched_gk","passes_pct_launched_gk","passes_gk","passes_throws_gk","pct_passes_launched_gk","passes_length_avg_gk","goal_kicks","pct_goal_kicks_launched","goal_kick_length_avg","crosses_gk","crosses_stopped_gk","crosses_stopped_pct_gk","def_actions_outside_pen_area_gk","def_actions_outside_pen_area_per90_gk","avg_distance_def_actions_gk"
"1840e36d","2008-2009","Genk",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2010-2011","Genk",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2011-2012","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2012-2013","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2013-2014","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2014-2015","Chelsea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2015-2016","Chelsea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2016-2017","Chelsea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2017-2018","Chelsea",0,2,2,28.7,0.27,-3.3,-0.09,173,455,38,948,204,34.2,36.5,246,53.3,48.3,282,22,7.8,16,0.46,13.3
"1840e36d","2018-2019","Real Madrid",0,3,0,32.5,0.29,-3.5,-0.13,110,289,38.1,651,166,31,34.4,180,48.3,45.7,188,19,10.1,11,0.41,14.2
"1840e36d","2019-2020","Real Madrid",0,4,0,22.8,0.24,2.8,0.08,90,311,28.9,865,200,26.1,33,219,38.8,40.3,285,25,8.8,22,0.65,14.8
"1840e36d","2020-2021","Real Madrid",0,3,1,29.8,0.22,2.8,0.07,136,351,38.7,1074,234,24.1,32.2,233,39.5,39.2,286,27,9.4,24,0.63,15
"1840e36d","2021-2022","Real Madrid",0,1,0,16.2,0.25,0.2,0.01,69,194,35.6,507,96,27.4,32.9,114,48.2,41.4,177,18,10.2,12,0.63,14.5
