"id","season","squad","passes_live","passes_dead","passes_free_kicks","through_balls","passes_pressure","passes_switches","crosses","corner_kicks","corner_kicks_in","corner_kicks_out","corner_kicks_straight","passes_ground","passses_low","passes_high","passes_left_foot","passes_right_foot","passes_head","throw_ins","passses_other_body","passes_offsides","passes_oob","passes_intercepted","passes_blocked"
"1840e36d","2008-2009","Genk",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2010-2011","Genk",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2011-2012","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2012-2013","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2013-2014","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2014-2015","Chelsea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2015-2016","Chelsea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2016-2017","Chelsea",NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2017-2018","Chelsea",889,305,59,0,87,23,0,0,0,0,0,701,51,442,712,246,0,0,204,4,30,4,8
"1840e36d","2018-2019","Real Madrid",592,239,59,0,78,22,0,0,0,0,0,536,23,272,468,190,1,0,166,3,21,0,1
"1840e36d","2019-2020","Real Madrid",796,288,69,1,95,26,0,0,0,0,0,727,48,309,560,317,1,0,200,4,34,1,1
"1840e36d","2020-2021","Real Madrid",1017,290,55,0,102,33,0,0,0,0,0,901,65,341,690,364,1,2,235,2,31,6,2
"1840e36d","2021-2022","Real Madrid",475,146,32,0,42,16,0,0,0,0,0,402,25,194,329,187,1,0,97,0,16,11,0
"2784f898","2017","São Paulo",NULL,NULL,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2784f898","2018","São Paulo",NULL,NULL,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2784f898","2018-2019","Porto",NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2784f898","2019-2020","Real Madrid",645,38,18,1,51,23,1,0,0,0,0,516,65,102,44,569,31,20,4,2,9,1,8
"2784f898","2020-2021","Real Madrid",745,23,14,0,61,44,2,0,0,0,0,616,55,97,68,659,22,9,3,1,11,10,8
"2784f898","2021-2022","Real Madrid",985,62,28,1,82,34,7,0,0,0,0,821,87,139,74,890,43,11,7,5,19,12,10
