"id","season","squad","minutes_per_game","minutes_pct","minutes_per_start","games_complete","games_subs","minutes_per_sub","unused_subs","points_per_match","on_goals_for","on_goals_against","plus_minus","plus_minus_per90","plus_minus_wowy","on_xg_for","on_xg_against","xg_plus_minus","xg_plus_minus_per90","xg_plus_minus_wowy"
"1840e36d","2008-2009","Genk",90,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2010-2011","Genk",90,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2011-2012","Atlético Madrid",88,NULL,NULL,36,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2012-2013","Atlético Madrid",90,NULL,NULL,37,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2013-2014","Atlético Madrid",90,NULL,NULL,37,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2014-2015","Chelsea",88,82.3,NULL,31,0,NULL,5,2.16,55,30,25,0.8,-1.57,NULL,NULL,NULL,NULL,NULL
"1840e36d","2015-2016","Chelsea",88,59.1,NULL,21,0,NULL,1,1.48,41,29,12,0.53,0.92,NULL,NULL,NULL,NULL,NULL
"1840e36d","2016-2017","Chelsea",90,94.7,NULL,36,0,NULL,0,2.5,81,28,53,1.47,1.97,NULL,NULL,NULL,NULL,NULL
"1840e36d","2017-2018","Chelsea",90,92.1,NULL,35,0,NULL,0,1.89,56,34,22,0.63,-0.04,53.2,32.3,20.9,0.6,0.02
"1840e36d","2018-2019","Real Madrid",90,71.1,90,27,0,NULL,5,1.67,43,36,7,0.26,-0.65,44,37.2,6.8,0.25,-0.56
"1840e36d","2019-2020","Real Madrid",90,89.5,90,34,0,NULL,2,2.26,60,20,40,1.18,-0.07,56.7,23.9,32.8,0.97,0.42
"1840e36d","2020-2021","Real Madrid",90,100,90,38,0,NULL,0,2.21,67,28,39,1.03,NULL,61.6,36.5,25.2,0.66,NULL
"1840e36d","2021-2022","Real Madrid",90,100,90,19,0,NULL,0,2.42,41,16,25,1.32,NULL,32.5,21.5,11,0.58,NULL
"2784f898","2017","São Paulo",78,49.9,81,13,1,5,12,1.5,23,20,3,0.16,0.37,NULL,NULL,NULL,NULL,NULL
"2784f898","2018","São Paulo",86,32.7,86,11,0,NULL,0,1.92,15,11,4,0.32,0.01,NULL,NULL,NULL,NULL,NULL
"2784f898","2018-2019","Porto",90,84.9,90,28,0,NULL,2,2.62,60,13,47,1.63,0.26,NULL,NULL,NULL,NULL,NULL
"2784f898","2019-2020","Real Madrid",68,29.9,87,9,5,31,23,2.33,17,9,8,0.7,-0.68,19.5,8.2,11.3,0.99,0.1
"2784f898","2020-2021","Real Madrid",81,33.1,84,12,1,45,13,2.14,26,7,19,1.51,0.72,20.9,13.2,7.7,0.61,-0.08
"2784f898","2021-2022","Real Madrid",90,94.7,90,18,0,NULL,1,2.39,37,15,22,1.22,-1.78,29,20.7,8.3,0.46,-2.2
