"id","season","squad","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","dribbles_completed","dribbles","dribbles_completed_pct","players_dribbled_past","nutmegs","carries","carry_distance","carry_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","pass_targets","passes_received","passes_received_pct","progressive_passes_received"
"1840e36d","2008-2009","Genk",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2010-2011","Genk",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2011-2012","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2012-2013","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2013-2014","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2014-2015","Chelsea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2015-2016","Chelsea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2016-2017","Chelsea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2017-2018","Chelsea",1252,1161,1250,2,0,0,947,0,0,NULL,0,0,621,3069,1314,0,0,0,0,0,624,619,99.2,0
"1840e36d","2018-2019","Real Madrid",883,808,880,2,1,1,648,1,1,100,1,0,487,2299,993,0,0,0,0,0,400,400,100,1
"1840e36d","2019-2020","Real Madrid",1153,1060,1150,3,1,1,869,0,0,NULL,0,0,628,3238,1407,0,0,0,0,0,575,572,99.5,1
"1840e36d","2020-2021","Real Madrid",1391,1250,1389,4,0,0,1102,0,0,NULL,0,0,786,4072,1710,0,0,0,0,0,744,738,99.2,0
"1840e36d","2021-2022","Real Madrid",658,596,655,3,0,0,513,0,0,NULL,0,0,349,1594,802,0,0,0,0,0,362,359,99.2,0
"2784f898","2017","São Paulo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2784f898","2018","São Paulo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2784f898","2018-2019","Porto",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2784f898","2019-2020","Real Madrid",803,121,447,368,27,4,767,1,2,50,1,0,523,2758,1303,22,5,0,6,8,555,543,97.8,4
"2784f898","2020-2021","Real Madrid",921,130,523,402,44,15,901,2,4,50,2,0,608,3351,1399,28,4,0,5,3,666,654,98.2,4
"2784f898","2021-2022","Real Madrid",1228,229,673,563,72,18,1170,6,9,66.7,6,0,801,4184,2086,32,11,1,5,6,853,835,97.9,5
