"id","season","squad","shots_total","shots_on_target","shots_on_target_pct","shots_total_per90","shots_on_target_per90","goals_per_shot","goals_per_shot_on_target","average_shot_distance","shots_free_kicks","npxg_per_shot","xg_net","npxg_net"
"1840e36d","2008-2009","Genk",NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2010-2011","Genk",NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2011-2012","Atlético Madrid",NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2012-2013","Atlético Madrid",NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2013-2014","Atlético Madrid",NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2014-2015","Chelsea",NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2015-2016","Chelsea",NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2016-2017","Chelsea",0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2017-2018","Chelsea",0,0,NULL,0,0,NULL,NULL,NULL,0,NULL,0,0
"1840e36d","2018-2019","Real Madrid",1,0,0,0.04,0,0,NULL,9,0,0.04,0,0
"1840e36d","2019-2020","Real Madrid",1,1,100,0.03,0.03,0,0,7,0,0.06,-0.1,-0.1
"1840e36d","2020-2021","Real Madrid",0,0,NULL,0,0,NULL,NULL,NULL,0,NULL,0,0
"1840e36d","2021-2022","Real Madrid",0,0,NULL,0,0,NULL,NULL,NULL,0,NULL,0,0
"2784f898","2017","São Paulo",13,5,38.5,0.69,0.26,0.15,0.4,NULL,NULL,NULL,NULL,NULL
"2784f898","2018","São Paulo",9,2,22.2,0.72,0.16,0.11,0.5,NULL,NULL,NULL,NULL,NULL
"2784f898","2018-2019","Porto",30,9,30,1.04,0.31,0.07,0.22,NULL,NULL,NULL,NULL,NULL
"2784f898","2019-2020","Real Madrid",3,1,33.3,0.26,0.09,0,0,11.8,0,0.02,-0.1,-0.1
"2784f898","2020-2021","Real Madrid",12,3,25,0.95,0.24,0.08,0.33,10.6,0,0.09,-0.1,-0.1
"2784f898","2021-2022","Real Madrid",16,4,25,0.89,0.22,0,0,17,0,0.11,-1.7,-1.7
