"id","season","squad","games","games_starts","minutes","goals","assists","goals_pens","pens_made","pens_att","cards_yellow","cards_red","goals_per90","assists_per90","goals_assists_per90","goals_pens_per90","goals_assists_pens_per90","xg","npxg","xa","npxg_xa","xg_per90","xa_per90","xg_xa_per90","npxg_per90","npxg_xa_per90"
"1840e36d","2008-2009","Genk",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2010-2011","Genk",40,40,3600,40,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2011-2012","Atlético Madrid",37,37,3261,36.2,0,0,0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2012-2013","Atlético Madrid",37,37,3330,37,0,0,0,0,0,2,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2013-2014","Atlético Madrid",37,37,3330,37,0,0,0,0,0,3,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2014-2015","Chelsea",32,32,2813,31.3,0,0,0,0,0,1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2015-2016","Chelsea",23,23,2020,22.4,0,0,0,0,0,1,2,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2016-2017","Chelsea",36,36,3240,36,0,0,0,0,0,1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2017-2018","Chelsea",35,35,3150,35,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1840e36d","2018-2019","Real Madrid",27,27,2430,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1840e36d","2019-2020","Real Madrid",34,34,3060,34,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0
"1840e36d","2020-2021","Real Madrid",38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1840e36d","2021-2022","Real Madrid",19,19,1710,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2784f898","2017","São Paulo",22,21,1708,19,2,0,2,0,0,1,1,0.11,0,0.11,0.11,0.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2784f898","2018","São Paulo",13,13,1119,12.4,1,1,1,0,0,6,0,0.08,0.08,0.16,0.08,0.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2784f898","2018-2019","Porto",29,29,2599,28.9,2,2,2,0,0,0,0,0.07,0.07,0.14,0.07,0.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2784f898","2019-2020","Real Madrid",15,10,1022,11.4,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01
"2784f898","2020-2021","Real Madrid",14,13,1133,12.6,1,0,1,0,0,3,1,0.08,0,0.08,0.08,0.08,1.1,1.1,0,1.1,0.09,0,0.09,0.09,0.09
"2784f898","2021-2022","Real Madrid",18,18,1620,18,0,1,0,0,0,1,0,0,0.06,0.06,0,0.06,1.7,1.7,0.6,2.3,0.1,0.03,0.13,0.1,0.13
