"id","season","squad","games","games_starts","minutes","goals","assists","goals_pens","pens_made","pens_att","cards_yellow","cards_red","goals_per90","assists_per90","goals_assists_per90","goals_pens_per90","goals_assists_pens_per90","xg","npxg","xa","npxg_xa","xg_per90","xa_per90","xg_xa_per90,"npxg_per90","npxg_xa_per90"
"1840e36d","2008-2009","Genk",1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N
"1840e36d","2010-2011","Genk",40,40,\N,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N
"1840e36d","2011-2012","Atlético Madrid",37,37,\N,0,0,0,0,0,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N
"1840e36d","2012-2013","Atlético Madrid",37,37,\N,0,0,0,0,0,2,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N
"1840e36d","2013-2014","Atlético Madrid",37,37,\N,0,0,0,0,0,3,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N
"1840e36d","2014-2015","Chelsea",32,32,\N,0,0,0,0,0,1,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N
"1840e36d","2015-2016","Chelsea",23,23,\N,0,0,0,0,0,1,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N
"1840e36d","2016-2017","Chelsea",36,36,\N,0,0,0,0,0,1,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N
"1840e36d","2017-2018","Chelsea",35,35,\N,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1840e36d","2018-2019","Real Madrid",27,27,\N,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1840e36d","2019-2020","Real Madrid",34,34,\N,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0
"1840e36d","2020-2021","Real Madrid",38,38,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1840e36d","2021-2022","Real Madrid",19,19,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2784f898","2017","São Paulo",22,21,\N,2,0,2,0,0,1,1,0.11,0,0.11,0.11,0.11,\N,\N,\N,\N,\N,\N,\N,\N,\N
"2784f898","2018","São Paulo",13,13,\N,1,1,1,0,0,6,0,0.08,0.08,0.16,0.08,0.16,\N,\N,\N,\N,\N,\N,\N,\N,\N
"2784f898","2018-2019","Porto",29,29,\N,2,2,2,0,0,0,0,0.07,0.07,0.14,0.07,0.14,\N,\N,\N,\N,\N,\N,\N,\N,\N
"2784f898","2019-2020","Real Madrid",15,10,\N,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01
"2784f898","2020-2021","Real Madrid",14,13,\N,1,0,1,0,0,3,1,0.08,0,0.08,0.08,0.08,1.1,1.1,0,1.1,0.09,0,0.09,0.09,0.09
"2784f898","2021-2022","Real Madrid",18,18,\N,0,1,0,0,0,1,0,0,0.06,0.06,0,0.06,1.7,1.7,0.6,2.3,0.1,0.03,0.13,0.1,0.13
